Rating,Review
1,mall terpanas padahal mall besar panas banget baru buka karyawan nya gak ramah kalau ditanya tanya malah jutek suka foto foto gak jelas karywaannya
2,tempatnya terawat sayang sekali duduk gazebo belakang patung biuku
3,tempat yg nagus sayang banyak sampah berserakan bau pesing fi sebabkan pengunjung yg menjaga kebersihansemoga tanggapan pihak yg bersangkutan
5,bingung malam nongkrong padang nyari tempat nongkrong asik duduk berlamalama budget sesuai kantong jadi pilihan keseruan tersendiri coba nongkrong lesehan ditepi jalanan kota padang yup sebut aja jajanan kulineran malam tugu gempa taman melati padang dahulunya dengar banyak anak muda nongkrong ditugu gempa seremserem gimana gitu embelembel taman melati pikir tongkrongan anakanak malam heeehhe ceritanya anak kesiangan padang gempa besar tahun 2009 menyisakan kepiluan momori sedih dibuatlah tugumonumen gempa berada simpang taman melati padang gang masuk sma don bosco padang depan hotel inna muara padang
3,lokasinya startegis pinggir laut sayang lengkapi fasilitas yg menunjang
5,i give 5 star because this place is also known as hitech mall center of it notebook and all things about technology in surabaya is here cheap and complete besides theres also ramayana mall and lontong balap garuda which makes thr is the best choice in town
1,jan 2018 this is a very new facility it will take a few years before the plants fill in the space properly there is a small knoll here where you are provided a good view of the surrounding island
3,tiket masuk per orang 10k mobil 10k jalan masuk pantai cukup terjal berbatu pantai kurang bersih terdapat glamping2 yg disewa
3,sedih melihat lingkungannya banyak sampah padahal kan tempat tempat disematkannya piagam adipura kota balikpapan padahal cukup asyik tempatnya adanya gazebogazebo semoga kedepan lingkungnnya lebih bersih
3,i went there in january 2024 and was expecting a bit more from the photos i saw online the park is very quiet and i think people mostly visit it to take some cool photos you can enjoy some activities like boat riding zipline and atv keep in mind that youll need to walk a lot so make sure you wear comfy shoes
4,tempatnya bagussangat cocok anak anakdewasa
3,nothing much to see but the artificial lake it self is quite awesome go i the morning if you want the view and the cooler weather
5,good place to go in batam many photo spots inside the park you can visit within an hour
4,kurang terawat sepertinya sebaiknya dipagar biar nampak kesan sejarahnya
2,pertama kali datang sangat bagus kedua kalinya ternyata tahap renovasi semoga lebih bagus sayangkan pegawai perkir provesional mengatakan parkir area depan ternyata banyak mobil parkir jalan jauh
3,berkunjung solo bukan akhir pekan memutuskan pergi kesini taman buatan pinggir sungai bengawan solo biaya parkir 3rb bebas htm pintu masuk berupa tangga difabel lift khusus tempat terkesan sepi pengunjung stand pedagangpun 1 buka mushola kotor tak terawat wc sampingnya tak toiletnya
1,niatnya mau nyantai nyewa glamping eh tau nya berisik banget dj nya tengah malam mending jgn nyewa glamping disini dah harga nya elit kenyamanan sulit kalau mau mencari kenyamanan lebih merekomendasikan kiki beach
2,sering tempat minggu pagi lumayan ramai pengunjung mulai jogging senam jalan sehat bersama kawan keluarga terdapat berbagai jenis jajanan buat suka kulineran jalan aspal bagian belakang perlu perbaikan toilet laki air flushing nya rusak sedikit kecewa pungutan biaya parkiran toiletnya kota besar balikpapan harusnya gratis fasilitas umum
1,kunjungan kedua sangat diluar expetasi gak yg menarik semua terawat semak lebih tinggi bangunan management berbenah biar pengunjung kecewa
1,tahun awal 2000 enak nongkrong disini makan nasi merah dulu 1000 rupiah haha
4,beautiful building can be made more interesting by displaying real indonesian money with proper explanation staffs are very friendly it has big potential to be better museum maybe with some informative video about the history of money and bank indonesia im ready to revise my review to 5 stars when proper improvement made
3,umumnya museum indonesia mendapatkan perhatian pemerintah museum jadi tempat kuno potensi besar wisata
2,semakin kesini kok wisata dirawatkolam renang kotor bangettrus tempat duduk area pancing ikan anak kotor banyak banget kotoran burungnyapokoknya sekarang wisata taman lele bagusharus terus benahidemi kenyamanan pengunjungnya
3,bagus spot photo video mau prewed langsung aja datang menikmati pemandangan nya berasa luar negeri versi low budget eheh
5,vilaresortkolam renangaulakebun buahparkingkantinkafe bagus acara keluargatempak kemah kamping view bendungan
4,selasasabtu 30k sabtu minggu 40k senin tutup loker 10k deposit 10k sekarang tersedia kolam baru kedalaman 12 m seru berenang disini
2,biasanya sih tempat orang mancing mancing buang suntuk foto tersebut gambaran jalan
3,tempat cukup menarik mempelajari kisah khsamanhoedi organisasi sarekat dagang islam nya
4,tempat nya alami dg udara bersih yg sejuk cocok utk pelepas lelah akhir pekan benar2 hawa pegunungan catatan akses jalan mohon diperhatikan utk kenyamanan pengunjung
5,banyak areatempat buat duduk jualan mulai makanan khas solo makanan jadul mainan hewan peliharaan aksesoris baju batik kualitasnya okee
