Rating,Review
5,"Tempat favorit anak di Makassar. Bersih, aman, banyak kuliner, tersedia Masjid, parkiran yang luas, petugas kemanan yg standby, petugas kebersihan yg rajin2. Sangat nyaman bagi keluarga. Terima kasih Dispar Kota Makassar dan pihak terkait shg menjadikan Pantai Losari sbg public area yang nyaman dan aman"
5,Tempat rekreasi murah. Kebersihan bisa lebih diprioritaskan. Banyak sampah
4,"Ini ikon Kota Makassar. Belum sah jika datang di kota ini, belum mampir di Pantai Losari.

Namanya saja pantai, tapi tak sehat lagi untuk ditempati mandi-mandi. Cukup dinikmati dengan memandangnya. Sunsetnya cantik.

Di sini selalu ramai. Terlebih saat sore hingga malam. Sementara saat minggu pagi, warga kota tumpah di sini.

Di sini cocok untuk wisata keluarga. Parkir di dalam area di sini gratis, mobil maupun sepeda motor.

Sedangkan di bagian luar area, dikenakan biaya parkir Rp 5.000 per kendaraan.

Hiburan lain, juga ada penyediaan jasa perahu motor. Tarif sekali naik perahu Rp 10 ribu untuk orang dewasa dan Rp 5.000 per anak.

Di sini juga kita bisa saksikan pertunjukan dari jomunitas pemeliharaan hewan reptil seperti ular.

Pengunjung bisa foto sembari menggendong ular. Tak perlu khawatir. Ularnya sudah jinak. Biaya foto seikhlasnya."
5,"Banyak spot-spot instagramable jika anda menyusuri sepanjang pantai Losari. Ambil spot di tulisan Bugis agar anda mendapatkan view yang menarik tanpa juntaian kabel.

Jika anda ingin olah raga ringan seperti jogging di pagi dan sore hari, lokasi ini menjadi pilihan yang tepat."
4,"Salah satu tujuan wisata yg cukup terkenal di kota Makassar ini memberikan ruang bagi publik utk bisa bersantai ria bersama keluarga maupun kerabat dekat. Suasana yg asri dan bersih menambah keseruan jika kita berkunjung kesana. Pantai ini berdekatan dengan Mesjid Terapung, Mesjid Amirul Mukminin, dan berseberangan dengan Mesjid 99 Kubah. Masih ada beberapa penjual makanan ringan yg menjajakan dagangannya di sekitar sepanjang pantai ini. Di jaman pandemik gini, protokol kesehatan tetap diberlakukan di area pantai ini, sehingga para pengunjung tetap aman dan nyaman. Untuk toilet umum mungkin agak ditingkatkan perawatan nya, mengingat kondisi nya waktu itu agak kurang layak utk umum. Beberapa wahana umum yg berbayar dpt dinikmati pengunjung seperti bebek2an dan sewa perahu kecil utk berputar2 di sekitar area pantai tersebut."
4,"tempat sudah lumayan bersih, tapi dermaga dan penempatan kapalnua tidak rapih. Air laut masih tercemari, beberapa lantai/tanah ada yang tidak rata dan jelek dilihat.

Kebanyakan dikunjungi karena foto-foto dengan tulisan raksasa yang mencerminkan ikon kota makassar.

Jangan pernah berharap anda berenang disini.

Ohiya, disini parkir gratis, jangan dikasih kalau ada yang minta jasa parkir."
5,"Makassar memang identik juga dengan kota wisata. Ada banyak cagar budaya, tempat bersejarah hingga tempat berekspresi atau sekedar jalan-jalan. Anda bisa berkunjung kapan saja ke Pantai Losari untuk menikmati suasana indah di bibir pantai reklamasi dengan pemandangan yang mengagumkan. Gambar dibawah ini saya ambil pada pukul 23.30 WITA saat lampu area ini telah dipadamkan. Tapi masih terlihat keren bukan? Ayook kunjungi sekarang!"
4,"Sebuah taman kota yang bagus, penataannya cukup rapi, banyak pepohonan rindang, tersedia tempat duduk yang cukup banyak, toilet umum dan ada banyak juga penjual makanan disekeliling yang menawarkan beraneka macam kuliner mulai makanan ringan hingga makanan berat.
Kebersihan juga lumayan. Ketersediaan lahan parkir juga sangat memadai.
Tempat ini cocok untuk berjalan santai ketika sore hari, menghabiskan waktu bersama keluarga.
Yang kurang menyenangkan hanyalah pengemis yang suka meminta dengan cara memaksa."
3,"Pantainya okay pasir hitam tapi cukup bersih, harganya masih terjangkau 20k/org di hari weekend, fasilitas lengkap ada kios2, cafe cerita pantai dan rumah makan didalamnya. TAPI SAYANG SEKALI fasilitas kamar mandinya tidak terawat dengan baik, banyak shower tapi airnya tidak mengalir alhasil harus antri panjang jika ingin mandi dan ganti pakaian. Tolong diperhatikan lagi shower kamar mandi dan diperbaiki fasilitasnya."
1,"Totally overrated! Each person pay 20.000 and car park 10.000. The ticket can be exchange only to mineral water, sprite or coca cola which we boicot (for management please change it to something else). If you just want to hangout without really swim in the beach wont recommend it. Better go visit other cafes nearby CPI or Losari. There are few food tenants with quite pricy snacks. And we are told if want to sit in their wood chair or grass the minimum spend is 100k, are you kidding? wont be back. Anyway is it even legal for a private entity to own a beach?"
4,"es kopi susunya super manis 😌 berenang disini kurang penjagaan, jadi harus hati-hati agar tidak terbawa arus, orang tua yang membawa anak juga harus fokus memperhatikan agar anak tidak jauh dari bibir pantai"
4,Wisata pantai pada umumnya dengan view sunset...sebaiknya datang disaat hari kerja sebab di hari-hari libur terlalu padat pengunjung.. harga tiket masuknya juga terlalu mahal untuk pantai sekelas ini....
4,"Datang ke sini jam setengah 6 tapi sayang lagi mendung jadinya gak kelihatan matahari terbenamnya, karena hari libur juga jadi tempatnya super ramai, biaya masuk sama saja seperti Akkarena ternyata, mobil berisikan 2 orang 40rb.

Lumayan nyaman sih duduk2 menimati desiran ombak dan angin laut, pantainya juga terjaga, bersih, ada pengawas pantainya juga."
5,"Seru banget, nongki pas senja🤎 pantainya cukup bersih dan disediakan tempat kongkow yang maenarik, htm 15.000 kalo ga salah. 5000 tiket masuk."
5,"Pantai yang recommended untuk menikmati senja.
Kebersihan sangat dijaga, saya kira worth it dengan biaya masuknya.
If you want to see my drone video please see my IG @hrtbn"
5,Untuk sekarang menurut saya ini pantai yang paling nyaman di kunjungi dikota makassar. Harga tiket masuk tidak terlalu mahal. Parkiran luas. Suasana pantai jg nyaman tidak ada rumah2 sepanjang pantai seperti pantai lain. Tidak perlu sewa ini itu cukup bawa alas/tikar untuk taro barang. Pantainya jg aman krn  pengawas pantai selalu patroli dan informasi peringatan kepada para pengunjung. Pantainya jg nyaman krn area dangkalnya cukup jauh sehingga anak2 bebas bermain di bibir pantai. Yg perlu dibenahi adalah kamar mandi krn beberapa pintu sudah rusak. Dan kadang harus antri cukup lama untuk bergantian menggunakan kamar mandi. Terima kasih.
5,"Untuk jalan akses Pantai layar putih bisa lewat pantai Tanjung bayang karena sebelahan. Cuman karena kami ingin berkunjung ke anjungan bebatuannya jadi masuknya lewat jalan kecil pas sebelum jembatan green river view. Aksesnya dapat dilewati oleh roda dua dan roda empat. Jalannya agak patah belekokannya jadi hati-hati saat di berbelok masuk di pinggir jembatan.

Pas awal masuk ada dikenakan biaya 5k permotor (boncengan 2 orang) dan diujung jalan disediakan tempat parkir dengan biaya 5k juga. Penjaga pintu masuk dan tukang parkir pada ramah-ramah dan kendaraan juga aman karena untuk parkir motornya aman dari panas dan hujan.

Yang suka kucing boleh bawa dry food juga. Soalnya di sana banyak anabul gemes main di pinggir batu. Beberapa juga ada yang main sama pengunjung karena pada clingy.

Kalau pengen ngemil di dalem ada yang jualan manisan. Siaa bawa minum aja. Bawa jajanan dari luar oke. Asal SAMPAHNYA TOLONG DI RAPIHIN BAWA PULANG/BUANG DIBTEMPAT SAMPAH"". Sedih tempatnya cantik sampahnya berserakan.

Overall tempatnya cakep banget buat healing.
Tapi kalau akhir pekan rame banget pemburu sunset duduk sampai full batu-batuannya sama orang. Jadi mesti gercep datengnya."
5,"Nggak cocok untuk berenang, tapi titik bagus untuk lihat matahari terbenam. Masuknya agak jauh, kebanyakan orang pakai motor. Dan jalanan masuknya agak sempit. Ada 1 atau 2 warung kopi, ga ingat persis."
4,"Penasaran datang ke tempat ini karena sering banget ngeliat foto bangunan layar itu di foto temen temen. Untuk akses masuknya pas aku datang sementara di perbaiki, soalnya udah ada material jalannya, cuman belum di kerja. Untuk biaya masuk itu 5k, dan parkir di dalam 5k. Di bagian dalam juga ada batu batu, jadi bisa duduk disitu buat ngesunset, tapi lumayan ramai sih. Untuk pasir pantainya warna coklat dan nggak terlalu luas pantainya"
5,Sunset nya bagus banget... Bagi Yang Ingin Berkunjung Jangan Khawatir kelaparan di pantai ada warung kok dan penjual bakso yg enak
5,"Uang masuk perorangan 5k+5k untuk parkir. View nya bagus, terlihat juga di foto yg saya abadikan.. saya datangnya sekitar jam 3 siang, masih sangat minim pengunjung yang datang. Boleh membawa makanan dan minuman asal selalu menjaga kebersihan sekitar pantai."
4,"Pemandangan nya sangat indah,tetapi akses ke sananya itu lumayan sulit"
4,"Akses ke pantai agak tersembunyi jika tidak diperhatikan. Sayangnya, pantainya cukup kotor dengan banyak sampah. Ada gazebo untuk menikmati matahari tenggelam, bahkan menjadi spot foto para fotografer.

satu satunya hal yang membuatnya menarik adalah view sunset yang keren setiap sorenya.."
3,"Anda akan di kenakan biaya masuk oleh warga sekitar tepatnya ibu lansia sebesar Rp.5.000 lalu sampe di dalam parkir motor ada lagi Rp.5.000. Bingung dan agak kesel saja sih dikarenakan itu pantai tidak ada pengelolanya. Dikenakan parkir liar segitu tapi gak ngapa-ngapain juga. Rompi gak punya. Lebih2 karcisnya terus minta harga segitu.
Bagi yang suka mancing bisa ke sini. Dan juga yang suka nikmati sunset atau sunrise dengan minim pengunjung. Ada gazebo tapi tidak layak pakai. Sebaiknya bawa tikar sendiri jika ingin berlama-lama karena gak ada penjual minuman atau makanan.
Mobil bisa masuk utk sebesar Agya atai Ayla"
4,Anjungan lebih bersih dan lebih rapi dibanding beberapa tahun yang lalu saya sering mengunjunginya. Saya sangat mengapresiasi pemerintah setempat yang terus melestarikan tempat khas makassar ini. Yang perlu ditingkatkan lgi barangkali dari segi fasilitas wc umum yang kurang bersih. Ewako!
4,"Lanscape kota tepi laut yang bagus, spot foto foto, sunrise bisa sunset bisa"
5,"Tempat nya bagus, indah, sy kesana sore sama malam."
5,"Dulu tahun 2019, foto pemandangan di Pantai Losari Makassar. Lebih suka matahari terbenam (sunset). 🌇🌅"
2,"Setelah hujan banyak genangan air dan ada jg jalan yg amblas,sepertinya kurang perawatan..
Sayang sekali...."
4,"Hunting sunset, ditutup dgn melintasnya kapal phinisi, nyantai sore-sore bersama keluarga atau kolega, menikmati kudapan khas pisang epek"
4,"Tempatnya cocok untuk kumpul komunitas karena sangat luas, dianjungan ini terdapat tulisan Mandar, Toraja, City of Makassar, patung tedong, dan patung tongkonan."
4,sayang air laut nya z yg kotor
3,"Sayang sekali tidak ada pantainya seperti yang kita bayangkan, tidak nampak pasir pantai dengan deburan ombak lautan, mungkin dulunya ini memang pantai. Jadi datang lah ke sini pagi-pagi atau sore hingga malam hari"
4,"Pantainya cukup tertata rapi, pedagang dibuatkan tempat khusus. Cuma sedikit disayangkan pemandangan tidak full laut krn tertutup pulau reklamasi."
4,"Enak sih buat ngopi, ngobrol santai bareng temen malem2, cuma agak gak nyaman masih suka didatengin yg minta2 & ngamen

Dihias pemandangan kapal phinisi & mesjid kubah 99"
5,"Anjungan nya keren, lengkap juga cemilan tradisional, galery art, sampe pinisi trip."
4,Cuma datang untuk minum saraba diatas cafe kapal. Karena akhir pekan banyak orang dan sudah malam jadi tidak bisa memberi ulasan secara detail
4,"Supaya tidak panas , datanglah pagi atau sore hari sambil menikmati kuliner khas Makasar seperti pisang molen, pisang epe dll"
5,Masjid luar biasa indahnya sayang akses belum jadi semoga pemda setempat cepat memyelesaikamnya
5,"Plaza (lapangan) di tepi pantai Losari. Dengan pemandangan matahari terbenam dan berhadapan dengan masjid 99 kubah. Perpaduan pemandangan yang apik. Terdiri dari beberapa bagian tematik sesuai daerah di Sulawesi Selatan, mulai Mandar, Toraja, Bugis, Makassar. Banyak tempat duduk untuk bersantai. Bila perlu ke toilet, di setiap area tematik tersedia toilet. Banyak pula patung-patung monumen. Di sepanjang pantai berderet pedagang makanan, khususnya Pisang Epe. Di ujung selatan area pantai Losari terdapat pula masjid Amirul Mukminin (masjid terapung)."
4,"Kelurahan Lakkang ini masih masuk Kota Makassar tapi terpisah oleh Sungai, sehingga harus menggunakan perahu rakit untuk menuju kemari, tidak ada jalan darat, motor juga naik perahu rakit. Di lakkang tidak ada kendaraan roda 4.

Yang bisa dilihat di sini ada bunker jepang dan hutan bambu, serta pengalaman naik perahu susur sungai diantara pohon nipah."
4,"Baru tahu ada t4 ini dari google map, langsung otw.. perjalanan cukup seru, melewati jalanan yg berlubang ke dermaga, menunggu perahu berangkat cukup lama, pemandangan selama perjalanan yg indah. Pas sampai di Lakkang dermaganya cukup bagus, bisa jadi spot foto. Tapi sayangnya tdk ada pemandangan yg menarik setelah menjelajah masuk ke daerah ini. Yg jiwa penjelajah kayak sy cocoklah kesini 😁 fyi, biaya penyebrangan dgn motor hanya 3 rb perak"
4,"Indah, sejuk, penduduknya ramah dan ada situs bersejarah"
5,"A great place for a short weekend escape. Easy access, friendly people, and public facilities are quite good. There are seven bunkers here which were built and used by Japanese to hide and keep themselves from attacks of Indonesian soldiers."
5,"Tempat yang Indah ..mulai saat melewati sungai dengan perahu sambung yang unik ..tiba tiba kita merasa meninggalkan keramaian kota. Keramahan penduduk dan pepohonan bambu yang rindang menyembunyikan sejarah  ,ada 3 bangker Jepang di lakkang .. kiliner ikan bandeng dan udang bakar juga tidak kalah enak dimakan di saung sawah ."
5,"Pernah kesana pergi liat bunker jepang, naik perahunya ngeri ngeri sedap :D
Semoga kedepan tempat ini ditata lebih baik agar lebih menarik dan lebih nyaman sekaligus menambah pendapatan buat warga disana."
5,Lakkang Wisata murah tapi tifak murahan. cukup Rp.6000 sudah bisa bolak balik ksana
5,Sebuah desa di tengah kota Makassar. Satu-satunya akses ke sana adalah naik perahu. Di Lakkang terdapat bunker peninggalan Jepang.
5,"Memiliki spot selam yang cukup bagus seperti Atlantis garden, garuda di lautku dan phinisi andalan"
5,"Pulau wisata yang sangat indah untuk di kunjungi, pasir pantai nya yang putih bersih dan laut nya yang biru segar sangat memanjakan mata, sangat di rekomendasikan bagi wisatawan yang ingin berwisata di pulau karna akses ke pulau cukup mudah cukup menyewa kapal dari pelabuhan paotere, kurang lebih 30 menit waktu tempuh nya dari pelabuhan paotere ke pulau, saya sudah mengunjungi pulau ini dan sangat puas dan sangat worth it dengan biaya yang di keluarkan"
5,A beautiful small island near Makassar
5,
5,"Selalu jadi opsi utama utk duduk-duduk dan ngobrol di bawah pohon di taman ini. Pagi, siang, sore dan walaupun banyak nyamuk di malam hari. Mungkin akan lebih baik kalau lampu taman yg rusak di perbaiki, juga ada baiknya menanam tanaman yang bisa mengusir nyamuk."
5,"Dari atas sini terlihat sejuk,
Alhamdulillah jadi bagian dari pembangunan untuk masa depan kota makassar.."
4,"Taman macan yang asri, bersih dan menyejukkan hehehe, taman yang berada ditengah kota yang dihimpit gedug-gedung serta kendaraan yang lalu lalang... seru sih nih taman seperti dipaksakan ada untuk memberi kesejukan di tengah garangnya polusi.. meski ribut dengan suara kendaraan namun masih sanymgat ayak dan baik untuk berolahraga dan jalan santai berkeliling di taman..."
4,"Meskipun dari sisi ukuran tidak begitu besar, namun taman ini menjadi salah satu paru-paru kota Makassar di tengah padatnya kendaraan yang hilir mudik tanpa henti.

Lokasinya yang strategis dekat dari Pantai Losari, kawasan niaga Somba Opu, dan sejumlah kantor pemerintahan, menjadikan Taman Macan sebagai alternatif ruang bercengkrama bagi masyarakat.

Ada aktifitas senam bersama yang diadakan saat akhir pekan di taman ini. Ada pula fasilitas jogging track meskipun dari sisi jarak tempuh tidak begitu panjang."
4,"RTH di pusat kota Makassar. Tepatnya di jalan slamet riyadi dan jalan balaikota. Tempatnya rindang, nyaman dan bersih. Prefer olahraga dsini dibandingkan kawasan RTH lainnya krn tdk bgitu ramai dan aman.

Tiap pagi jam 10an ada ibu2 yg senam, bgitupun dengan sore hari juga ada senam yg terbuka untuk umum. Setiap pagi banyak petugas kebersihan yg menyapu dan membersihkan sampah dan daun2 yg gugur. Selama covid ada om om tentara yg menjaga di dekat kantor lurah, kebetulan dlm lokasi ini ada kantor lurah.

Banyak kursi dan tempat sampah. Untuk parkiran motor tersedia cukup, hanya saja untuk mobil harus parkir pada bahu jalan. Lokasinya strategis dekat dengan perkantoran, pantai losari dan kawasan perhotelan. Hanya saja ada bbrapa hal yg harus dibenahi dan diperhatikan perawatannya, seperti tulisan “Taman Macan” di dekat patung macan yg harus diganti krn sdh banyak hurufnya yg hilang2, kran air minum dari PDAM yg rusak dan tdk digunakan lagi hingga toiletnya.

Overall oke, sejuk dan nyaman. Cocok mambawa anak kecil jalan2 pagi krn lokasinya jg tdk jauh dri pantai losari dan banyak coffee shop juga di dekat taman macan seperti maxx, starbucks, fireflies dll"
5,"Sejuk walau matahari sedang teriknya. Saking banyak pohon yang tumbuh rindang di taman ini.

Menghirup udara segar dalam Kota Makassar di sini salah satu tempatnya.

Tersedia banyak tempat duduk permanen. Jadi enak nongkrong di sini untuk melepas penat.

Bisa juga tempat olahraga: senam atau jogging di sini.

Selalu ramai. Pagi hingga sore. Anak-anak, remaja hingga orangtua bisa dijumpai di sini.

Taman ini juga dekat dari perkantoran dan hotel serta kafe.

Taman ini juga kerap digunakan untuk pertunjukan seni musik, pameran hingga acara-acara sosial. (JM)"
5,"(+) Tamannya sejuk, penuh pohon-pohon yang di tanam rapi (beberapa pohon di beri label nama oleh dinas kehutanan).

Areanya bagus untuk olahraga ringan, ada banyak tempat duduk untuk sekedar bersantai...

(-) Taman ini sudah diberikan fasilitas tempat sampah, tapi entah kenapa masih aja ada orang buang sampah sembarangan...  Ckckck"
4,"Lokasi berada di tengah kota, dengan padat kendaraan, menjadi tujuan utama jika mencari tempat jogging track pagi maupun sore hari. Taman asri, tumbuhan cukup banyak variasinya dan sudah dilengkapi dengan nama tumbuhan. Cukup nyaman bila duduk2 dan piknik makan bersama keluarga/ teman. Tersedia gerai minuman segar, maupun nasi campur yg mangkir di pinggir jalan taman. Taman selalu bersih dari sampah, karena petugas taman selalu sigap dan menyediakan tempat sampah yg cukup banyak di beberapa titik. Kekurangannya belum dilengkapi taman bermain untuk anak-anak, juga air mancurnya tidka menyala/kotor, pengisian air siap minum yg sengaja dimatikan, juga banyak ditemui orang yg tidur di kursi dan mengganggu pemandangan."
4,"Aman untuk mandi, cuma pantainha kurang bersih, ada balai2 bisa d sewa 50 k,  karcis masuk untuk mobil 20rb,  untuk motor 10k,  ada warung buat beli kopi,  pop mie,  sayang wc umum untuk mandi dan bilas terkunci"
3,View bagus walau bukan tempat wisata
5,"Lokasi mancing dan lokasi nongkrong, bayar masuk & parkir katanya buat perbaikan dan perawatan jalan.  Tapi sampai sekarang jalanya masih sama dari tahun Ketahun. Semoga dibenahi"
4,Tempat yang indah menyaksikan senja. Menenggelamkan kenangan yang tak bisa terulang kembali.
1,Hal-hal tipikal yg memang sering terjadi di tempat wisata: disuruh bayar Rp.50.000/tenda sama pemilik warung minuman dingin di lokasi (yg katanya pemilik pantai) karena menginap pakai tenda satu malam. Masalahnya tidak ada pemberitahuan atau tanda apapun. Sudah bayar parkir pula Rp.10.000/motor. Kebersihannya juga kacau.
4,Dekat dari rumah. Bayar masuk 5000 bayar parkir 5000 pemandangan bagus. Tapi meski berkali kali ksana sampah masih banyak banget sih seperti botol bekas atau plastik aqua gelas. Harusnya kan ada pembayaran ada perawatan juga dong 😬
3,"Tempatnya oke, cuma perlu ada perhatian dari dinas terkait, dan juga petugas baru menyampaikan kalau gazebo disewakan setelah pengunjung duduk cukup lama"
4,"tempatnya sepi, tapi itu lebih bagus. banyak orang memancing, Banyak sampah, sayangnya kalo kesini harus bayar, padahal ini pantai, bukan panti pijat. airnya lumayan asin, namanya juga air laut. buat yang punya luka jangan mandi disini, karna bikin perih, tapi kalo luka hati gak apa2. mungkin kalo kesini bisa terobati. semoga kebersihan lebih dijaga, supaya jadi lebih indah"
4,"Put this on your list to visit if you love history. Fort Rotterdam was built by the Dutch on the original fort of the Makassar rulers. Back then, Makassar was known as Ujung Pandang. Interestingly, the Dutch built the fort using karst stone from Maros, a region to the north of Makassar. The Fort has been largely preserved. The small museum is located within one of the old buildings. If you want to know about the original people of the region, as well as cool down, make your way to it. It shouldn't take more than 15 minutes to walk through. Beautiful and picturesque, the Fort provides opportunities for some snapshots. Overall, it is a good place to visit when there is no crowd."
5,"Salah satu tempat bersejarah di Makassar. Bangunan nya masih bagus semua. Ada taman taman nya gitu yang di rawat. Kalo siang panas bangett tp kalo sore enak adem. Cocok buat tempat jalan jalan sama keluarga. Banyak penjual minuman/makanan di luar benteng. Sayang banget tempat wudhu nya ga terlalu bagus. Untuk tempat wudhu nya ga ada penutup dan gantungan. Trus sempet kesini juga pas acara mcn, pas sholat maghrib tempat wudhu nya ga ada lampu gelap bgt. Mungkin untuk pengelola bisa lebih di perhatikan lagi untuk musholla nya."
4,"Bagus temptnya untuk rekreasi sejenak alternatif sekitar kota. Namun harap hati-hati dengan barang bawaan, waktu itu lupa naruh jaket di salah satu tempat duduknya. Waktu dicari kembali sudah tidak ketemu. Sungguh sayang sekali. Area parkir luas, untuk tiket masuk gratis, namun waktu masuk museum ada tarif 5000 rupiah"
5,One of oldest Fort in Indonesia. Buildings in the area already being restored for young generation to see. Complete with sample of tiles made during Dutch colony.
5,"Masuk ke dalam kawasan ini gratis, luas dan petugas sangat ramah. Tapi sayang sekali bangunan kurang terawat,banyak sampah yang berserakan dan minim info tentang museum ini. Ada juga guide dengan biaya tambahan"
5,"salah satu bangunan bersejarah yang ada di Kota Makassar untuk mengenang peradaban manusia dan para pahlawan.
Bangunan nya sangat luat.
Untuk masuk ke dalam fort rotterdam nya gratis.
Jika ikan memakai tour guide mereka pun menyediakan.
Jika tidak juga tidak apa-apa bisa jalan sendiri untuk masuk melihat-lihat.
Tetapi jika ingin masuk ke dalam museum harus bayar senilai Rp 5.000"
4,"Kali ini berkunjung mendampingi anak yang tampil tari senam maumere di acara BBGP 😊, tapi sayangnya panggungnya tak ada atap makanya anak tampil panas-panasan"
5,"This fort is a Dutch fort built on top of Gowa Kingdom. It is now a cultural and educational center, as well as a tourist destination. There are some buildings; museum, prayer room, parks, toilet, library that has old Dutch books, Prince Diponegoro jail, etc. The price ticket is 5 thousand rupiahs per person."
