Rating,Review
1,Mall terpanas padahal mall besar tapi panas banget apalagi baru buka karyawan nya gak ramah kalau ditanya tanya malah jutek suka foto foto gak jelas juga karywaannya
2,Tempatnya sudah tidak terawat sayang sekali Tapi masih bisa untuk duduk di gazebo di belakang patung biuku
3,Tempat yg nagus tapi sayang banyak sampah berserakan serta bau pesing fi sebabkan oleh pengunjung yg tidak menjaga kebersihansemoga ada tanggapan dari pihak yg bersangkutan
5,"Bingung malam nongkrong dimana di Padang Apalagi nyari tempat nongkrong yang asik bisa duduk berlamalama dan dengan budget yang sesuai kantong Jadi ada pilihan dan keseruan tersendiri untuk coba nongkrong lesehan ditepi jalanan kota di Padang Yup sebut aja jajanan dan kulineran malam di Tugu Gempa Taman Melati Padang

Dahulunya saat saya dengar banyak anak muda yang nongkrong ditugu gempa ini agak seremserem gimana gitu Apalagi dengan embelembel taman melati yang saya pikir itu tongkrongan anakanak malam heeehhe ceritanya saya anak kesiangan Padang yang dulunya gempa besar tahun 2009 menyisakan kepiluan dan momori yang sedih sehingga dibuatlah tugumonumen gempa yang berada di simpang Taman Melati Padang gang masuk ke SMA Don Bosco Padang atau depan hotel Inna Muara Padang"
3,Lokasinya startegis Di pinggir laut sayang belum di lengkapi fasilitas yg menunjang
5,I give 5 star because this place is also known as hitech mall Center of IT Notebook and all things about technology in Surabaya is here Cheap and complete Besides theres also Ramayana mall and Lontong Balap Garuda which makes THR is the best choice in town
1,Jan 2018 this is a very new facility It will take a few years before the plants fill in the space properly There is a small knoll here where you are provided a good view of the surrounding island
3,Tiket masuk per orang 10k  mobil 10k Jalan masuk ke pantai cukup terjal dan berbatu pantai kurang bersih Terdapat glamping2 yg bisa disewa
3,Sedih melihat lingkungannya yang banyak sampah padahal kan tempat ini tempat disematkannya piagam Adipura kota Balikpapan Padahal sudah cukup asyik tempatnya dengan adanya gazebogazebo Semoga kedepan lingkungnnya bisa lebih bersih lagi
3,I went there in January 2024 and was expecting a bit more from the photos I saw online The park is very quiet and I think people mostly visit it to take some cool photos You can enjoy some activities like boat riding zipline and ATV Keep in mind that youll need to walk a lot so make sure you wear comfy shoes
4,tempatnya bagussangat cocok untuk anak anakdewasa
3,Nothing much to see But the artificial lake it self is quite awesome Go i the morning if you want the view and the cooler weather
5,Good place to go in Batam Many photo spots inside the park You can visit within an hour
4,Kurang terawat sepertinya dan sebaiknya dipagar biar nampak kesan sejarahnya
